Market Regime,Model,Observations,Breaches,Expected,Breach Rate,Kupiec p-val,Christoffersen p-val,ES Test Verdict,Annualized Return %,Annualized Vol %,Sharpe Ratio,Performance vs 50/50
Full Sample,Gaussian,1340,17,13.4,0.0127,0.3427,0.0762,Pass,8.17,18.86,0.433,Worse
Full Sample,StudentT,1340,16,13.4,0.0119,0.4885,0.0631,Pass,8.22,18.87,0.436,Worse
Full Sample,Clayton,1340,13,13.4,0.0097,0.9121,0.4622,Pass,8.06,18.86,0.427,Worse
Full Sample,Gumbel,1340,26,13.4,0.0194,0.0022,0.2728,Pass,8.25,18.88,0.437,Worse
CovidCrash,Gaussian,36,3,0.4,0.0833,0.0057,0.9100,Too-few,-173.01,66.48,-2.602,Worse
CovidCrash,StudentT,36,3,0.4,0.0833,0.0057,0.9100,Too-few,-175.68,65.63,-2.677,Worse
CovidCrash,Clayton,36,3,0.4,0.0833,0.0057,0.9100,Too-few,-176.44,65.99,-2.674,Worse
CovidCrash,Gumbel,36,3,0.4,0.0833,0.0057,0.9100,Too-few,-175.63,65.57,-2.679,Worse
BankingCrisis23,Gaussian,17,0,0.2,0.0000,0.5588,NA,Too-few,23.01,19.99,1.151,Better
BankingCrisis23,StudentT,17,0,0.2,0.0000,0.5588,NA,Too-few,25.28,19.77,1.279,Better
BankingCrisis23,Clayton,17,0,0.2,0.0000,0.5588,NA,Too-few,25.31,19.77,1.280,Better
BankingCrisis23,Gumbel,17,0,0.2,0.0000,0.5588,NA,Too-few,25.28,19.77,1.279,Better
Non-Crisis,Gaussian,1285,14,12.8,0.0109,0.7506,0.0444,Pass,12.84,15.55,0.826,Worse
Non-Crisis,StudentT,1285,13,12.8,0.0101,0.9665,0.0352,Pass,12.94,15.66,0.826,Worse
Non-Crisis,Clayton,1285,10,12.8,0.0078,0.4058,0.3457,Pass,12.80,15.61,0.820,Worse
Non-Crisis,Gumbel,1285,23,12.8,0.0179,0.0104,0.2034,Pass,12.97,15.67,0.828,Worse
